Date & Time,Host name,Java version,JobRunr type,JobRunr version,StorageProvider,amount of created jobs,amount of succeeded jobs,creation duration,processing duration,job throughput (jobs / sec)
2025-04-25T13:21:16.585091248Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MariaDbStorageProvider,500010,224792,PT1M0.318141461S,PT10M0.434547332S,374.65
2025-04-25T13:32:50.090589774Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MongoDBStorageProvider,500010,554464,PT58.279120704S,PT9M40.221472565S,955.97
2025-04-25T13:43:35.722760146Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MySqlStorageProvider,500010,169215,PT2M23.758800164S,PT10M0.32145979S,282.03
2025-04-25T13:56:57.958550248Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),OracleStorageProvider,500010,182767,PT2M35.411072611S,PT10M0.149112377S,304.61
2025-04-25T14:10:46.904631153Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),PostgresStorageProvider,500010,541934,PT39.734069968S,PT7M50.392764856S,1153.05
2025-04-25T14:19:22.359542921Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),SQLServerStorageProvider,500010,64029,PT1M53.835276703S,PT10M3.2098206S,106.18
2025-04-25T14:31:51.439252111Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-uuid-bin-vs-char@829a79082),MariaDbStorageProvider,500010,525377,PT58.335713615S,PT4M41.716359108S,1869.67
2025-04-25T14:38:12.106706707Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-uuid-bin-vs-char@829a79082),MongoDBStorageProvider,500010,540275,PT56.517227555S,PT6M22.102845102S,1414.33
2025-04-25T14:45:37.924971788Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-uuid-bin-vs-char@829a79082),MySqlStorageProvider,500010,344937,PT2M18.581240651S,PT10M0.403531694S,574.90
2025-04-25T14:59:05.991760755Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-uuid-bin-vs-char@829a79082),OracleStorageProvider,500010,38492,PT2M0.441675154S,PT4M27.273766948S,144.16
2025-04-25T15:06:58.242052225Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-uuid-bin-vs-char@829a79082),PostgresStorageProvider,500010,530418,PT39.264611077S,PT4M33.465004093S,1942.92
2025-04-25T15:06:58.242052225Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-uuid-bin-vs-char@829a79082),SQLServerStorageProvider,500010,345058,PT1M39.264611077S,PT11M11.465004093S,514.92
2025-04-26T10:33:06.713065357Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@8353adf68),OracleStorageProvider,10010,10567,PT1M0.497392306S,PT12.889383275S,880.58
2025-04-26T11:38:23.689490843Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@8353adf68),OracleStorageProvider,10010,10892,PT59.897832126S,PT28.028076912S,389.00
2025-04-28T18:48:56.843256089Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@f3997c45e),MySqlStorageProvider,500010,480646,PT1M42.707093314S,PT10M0.439388373S,801.08
2025-04-28T19:13:51.590324774Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@f3997c45e),MySqlStorageProvider,500010,494865,PT1M39.742667735S,PT10M0.989507577S,824.78
2025-04-28T19:27:54.202587364Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@f3997c45e),MySqlStorageProvider,500010,470991,PT1M47.047266651S,PT10M0.826202722S,784.99
2025-04-30T08:30:07.987685302Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),MySqlStorageProvider,500010,479575,PT1M43.388813639S,PT10M0.867739434S,799.29
2025-04-30T12:10:15.158761516Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MariaDbStorageProvider,500010,229226,PT45.280273212S,PT10M0.330440435S,382.04
2025-04-30T12:21:22.829316495Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MongoDBStorageProvider,500010,549276,PT42.927989103S,PT8M24.013266781S,1089.83
