Date & Time,Host name,Java version,JobRunr type,JobRunr version,StorageProvider,amount of created jobs,amount of succeeded jobs,creation duration,processing duration,job throughput (jobs / sec)
2025-04-25T21:47:41.542461796Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MariaDbStorageProvider,500000,500000,PT28.209461228S,PT3M8.232777979S,2659.57
2025-04-25T21:51:54.327935896Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MongoDBStorageProvider,500000,500000,PT12.947623956S,PT3M53.241177233S,2145.92
2025-04-25T21:56:08.629668065Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MySqlStorageProvider,500000,500000,PT1M0.36067052S,PT10M3.119471443S,829.19
2025-04-25T22:08:16.261877473Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),OracleStorageProvider,500000,31068,PT2M2.561542452S,PT4M16.35248627S,121.36
2025-04-25T22:15:50.743637704Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),PostgresStorageProvider,500000,500000,PT27.44078325S,PT2M48.072485986S,2976.19
2025-04-25T22:19:11.705979241Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),SQLServerStorageProvider,500000,500000,PT58.671563037S,PT24M23.181728452S,341.76
2025-04-25T22:44:53.429020874Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@22f276014),MariaDbStorageProvider,500000,500000,PT25.48499327S,PT3M13.220112212S,2590.67
2025-04-25T22:49:12.390428793Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@22f276014),MongoDBStorageProvider,500000,500000,PT13.014185016S,PT3M48.254595662S,2192.98
2025-04-25T22:53:22.001658375Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@22f276014),MySqlStorageProvider,500000,500000,PT51.278146525S,PT10M8.138169377S,822.37
2025-04-25T23:05:26.224133137Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@22f276014),OracleStorageProvider,500000,40344,PT1M15.272549161S,PT4M11.097435719S,160.73
2025-04-25T23:12:10.747625654Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@22f276014),PostgresStorageProvider,500000,500000,PT26.439930823S,PT3M3.062355033S,2732.24
2025-04-25T23:15:45.483428568Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@22f276014),SQLServerStorageProvider,500000,500000,PT51.823094099S,PT9M3.068584122S,920.81
2025-10-16T14:29:49.270588985Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr,8.1.0 (master),MariaDbStorageProvider,500000,500000,PT18.336128269S,PT2M28.145295777S,3378.38
2025-10-16T14:32:59.377950686Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr,8.1.0 (master),MongoDBStorageProvider,500000,500000,PT9.351469171S,PT3M29.126557439S,2392.34
2025-10-16T14:36:43.832692628Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr,8.1.0 (master),MySqlStorageProvider,500000,500000,PT38.656904132S,PT8M58.100079694S,929.37
2025-10-16T14:47:06.766052668Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr,8.1.0 (master),OracleStorageProvider,500000,198468,PT1M4.01992543S,PT4M38.063815336S,713.91
2025-10-16T14:53:51.475690532Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr,8.1.0 (master),PostgresStorageProvider,500000,500000,PT17.964923936S,PT2M38.065955541S,3164.56
2025-10-16T14:56:52.453876364Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr,8.1.0 (master),SQLServerStorageProvider,500000,500000,PT32.648251803S,PT21M53.161128779S,380.81
-- DefaultQueue
2025-10-17T08:55:22.396681694Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),MariaDbStorageProvider,500000,500000,PT26.809556438S,PT2M38.221353558S,3164.56
2025-10-17T08:59:00.094816064Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),MongoDBStorageProvider,500000,500000,PT13.221707645S,PT3M43.283317902S,2242.15
2025-10-17T09:03:03.915418786Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),MySqlStorageProvider,500000,500000,PT52.398413189S,PT9M38.123192993S,865.05
2025-10-17T09:14:37.519805031Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),OracleStorageProvider,500000,500000,PT1M16.155564694S,PT9M8.084718421S,912.41
2025-10-17T09:26:10.167417043Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),PostgresStorageProvider,500000,500000,PT27.787648139S,PT3M3.102498029S,2732.24
2025-10-17T09:29:46.512815046Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),SQLServerStorageProvider,500000,500000,PT56.754663154S,PT8M33.080590143S,974.66
-- SmartQueue
2025-10-17T09:54:29.087245608Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),MariaDbStorageProvider,500000,500000,PT27.921199683S,PT1M58.921835482S,4237.29
2025-10-17T09:57:26.315613113Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),MongoDBStorageProvider,500000,500000,PT13.389865146S,PT1M53.2460047S,4424.78
2025-10-17T09:59:40.182208394Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),MySqlStorageProvider,500000,500000,PT55.837404129S,PT8M18.11405116S,1004.02
2025-10-17T10:11:05.696342790Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),PostgresStorageProvider,500000,500000,PT30.614412472S,PT1M48.205130293S,4629.63
2025-10-17T10:13:30.029831388Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,8.1.0 (master@d16a6f6e4),SQLServerStorageProvider,500000,500000,PT55.237001784S,PT10M13.074787338S,815.66
