Date & Time,Host name,Java version,JobRunr type,JobRunr version,StorageProvider,amount of created jobs,amount of succeeded jobs,creation duration,processing duration,job throughput (jobs / sec)
2025-05-13T20:56:52.868184618Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.1 (HEAD),MariaDbStorageProvider,500000,500000,PT28.457625817S,PT15M13.247428355S,547.65
2025-05-13T21:13:08.118276264Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.1 (HEAD),MongoDBStorageProvider,500000,500000,PT14.60445409S,PT13M38.27263141S,611.25
2025-05-13T21:27:07.235611391Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.1 (HEAD),MySqlStorageProvider,500000,500000,PT1M1.231014987S,PT19M28.130846919S,428.08
2025-05-13T21:48:28.889771922Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.1 (HEAD),OracleStorageProvider,500000,138919,PT1M34.633091209S,PT18M8.147351028S,127.68
2025-05-13T22:09:15.626858667Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.1 (HEAD),PostgresStorageProvider,500000,500000,PT28.917107012S,PT11M18.044403958S,737.46
2025-05-13T22:21:08.339356586Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.1 (HEAD),SQLServerStorageProvider,500000,500000,PT1M1.033790644S,PT28M33.008590337S,291.89
2025-05-13T22:50:57.973435497Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/rate-limiters-improvement@7d1ea849a),MariaDbStorageProvider,500000,500000,PT27.406747401S,PT2M38.220009817S,3164.56
2025-05-13T22:54:32.650970052Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/rate-limiters-improvement@7d1ea849a),MongoDBStorageProvider,500000,500000,PT14.152921069S,PT3M18.259853158S,2525.25
2025-05-13T22:58:12.577233469Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/rate-limiters-improvement@7d1ea849a),MySqlStorageProvider,500000,500000,PT54.277743424S,PT8M18.114410696S,1004.02
2025-05-13T23:08:29.200785615Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/rate-limiters-improvement@7d1ea849a),OracleStorageProvider,500000,500000,PT2M13.584603774S,PT10M3.080429665S,829.19
2025-05-13T23:21:50.021593083Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/rate-limiters-improvement@7d1ea849a),PostgresStorageProvider,500000,500000,PT26.977128764S,PT2M28.147464191S,3378.38
2025-05-13T23:24:50.078636686Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/rate-limiters-improvement@7d1ea849a),SQLServerStorageProvider,500000,500000,PT35.45505404S,PT7M29.130800493S,1113.59
2025-05-14T08:20:02.130715312Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (v8@1a7caa510),MariaDbStorageProvider,500000,500000,PT26.820391746S,PT2M31.982928724S,3311.26
2025-05-14T08:23:26.629000576Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (v8@1a7caa510),MongoDBStorageProvider,500000,500000,PT14.315892704S,PT3M53.249037234S,2145.92
2025-05-14T08:27:41.916060980Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (v8@1a7caa510),MySqlStorageProvider,500000,500000,PT53.529304849S,PT9M33.121613259S,872.60
2025-05-14T08:39:00.460359925Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (v8@1a7caa510),OracleStorageProvider,500000,500000,PT1M49.492533106S,PT9M28.079525232S,880.28
2025-05-14T08:51:14.164221643Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (v8@1a7caa510),PostgresStorageProvider,500000,500000,PT26.447625623S,PT2M28.167279605S,3378.38
2025-05-14T08:54:13.870385067Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (v8@1a7caa510),SQLServerStorageProvider,500000,500000,PT55.060239575S,PT12M3.085457986S,691.56
2026-06-04T14:24:36.240603506Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (fix/batchjob-continuation@5e03cb9d6),postgres:18.1,500000,500000,PT23.116122709S,PT10M59.14636165S,758.73
